Country,srcYear,srcCalendarDay,ASI Monuments,Number of Tourists,YearCode,Year,DayCode,CalendarDay
India,2019,01-Aug-2019,Taj Mahal,12818,2019,"Financial Year (Apr - Mar), 2019",20190801,2019-08-01
India,2019,01-Aug-2019,Red Fort,4864,2019,"Financial Year (Apr - Mar), 2019",20190801,2019-08-01
India,2019,01-Aug-2019,Qutub Minar,4934,2019,"Financial Year (Apr - Mar), 2019",20190801,2019-08-01
India,2019,01-Aug-2019,Agra Fort,3797,2019,"Financial Year (Apr - Mar), 2019",20190801,2019-08-01
India,2019,02-Aug-2019,Red Fort,6161,2019,"Financial Year (Apr - Mar), 2019",20190802,2019-08-02
India,2019,02-Aug-2019,Qutub Minar,5709,2019,"Financial Year (Apr - Mar), 2019",20190802,2019-08-02
India,2019,02-Aug-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190802,2019-08-02
India,2019,02-Aug-2019,Agra Fort,3380,2019,"Financial Year (Apr - Mar), 2019",20190802,2019-08-02
India,2019,03-Aug-2019,Taj Mahal,16666,2019,"Financial Year (Apr - Mar), 2019",20190803,2019-08-03
India,2019,03-Aug-2019,Red Fort,6857,2019,"Financial Year (Apr - Mar), 2019",20190803,2019-08-03
India,2019,03-Aug-2019,Agra Fort,5097,2019,"Financial Year (Apr - Mar), 2019",20190803,2019-08-03
India,2019,03-Aug-2019,Qutub Minar,6734,2019,"Financial Year (Apr - Mar), 2019",20190803,2019-08-03
India,2019,04-Aug-2019,Red Fort,7298,2019,"Financial Year (Apr - Mar), 2019",20190804,2019-08-04
India,2019,04-Aug-2019,Taj Mahal,19081,2019,"Financial Year (Apr - Mar), 2019",20190804,2019-08-04
India,2019,04-Aug-2019,Qutub Minar,9464,2019,"Financial Year (Apr - Mar), 2019",20190804,2019-08-04
India,2019,04-Aug-2019,Agra Fort,6052,2019,"Financial Year (Apr - Mar), 2019",20190804,2019-08-04
India,2019,05-Aug-2019,Taj Mahal,12293,2019,"Financial Year (Apr - Mar), 2019",20190805,2019-08-05
India,2019,05-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190805,2019-08-05
India,2019,05-Aug-2019,Qutub Minar,5059,2019,"Financial Year (Apr - Mar), 2019",20190805,2019-08-05
India,2019,05-Aug-2019,Agra Fort,4281,2019,"Financial Year (Apr - Mar), 2019",20190805,2019-08-05
India,2019,06-Aug-2019,Agra Fort,4623,2019,"Financial Year (Apr - Mar), 2019",20190806,2019-08-06
India,2019,06-Aug-2019,Taj Mahal,12051,2019,"Financial Year (Apr - Mar), 2019",20190806,2019-08-06
India,2019,06-Aug-2019,Qutub Minar,4156,2019,"Financial Year (Apr - Mar), 2019",20190806,2019-08-06
India,2019,06-Aug-2019,Red Fort,4129,2019,"Financial Year (Apr - Mar), 2019",20190806,2019-08-06
India,2019,07-Aug-2019,Taj Mahal,13144,2019,"Financial Year (Apr - Mar), 2019",20190807,2019-08-07
India,2019,07-Aug-2019,Agra Fort,4323,2019,"Financial Year (Apr - Mar), 2019",20190807,2019-08-07
India,2019,07-Aug-2019,Qutub Minar,4873,2019,"Financial Year (Apr - Mar), 2019",20190807,2019-08-07
India,2019,07-Aug-2019,Red Fort,5076,2019,"Financial Year (Apr - Mar), 2019",20190807,2019-08-07
India,2019,08-Aug-2019,Taj Mahal,15944,2019,"Financial Year (Apr - Mar), 2019",20190808,2019-08-08
India,2019,08-Aug-2019,Red Fort,4299,2019,"Financial Year (Apr - Mar), 2019",20190808,2019-08-08
India,2019,08-Aug-2019,Agra Fort,4299,2019,"Financial Year (Apr - Mar), 2019",20190808,2019-08-08
India,2019,08-Aug-2019,Qutub Minar,4611,2019,"Financial Year (Apr - Mar), 2019",20190808,2019-08-08
India,2019,09-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190809,2019-08-09
India,2019,09-Aug-2019,Agra Fort,4145,2019,"Financial Year (Apr - Mar), 2019",20190809,2019-08-09
India,2019,09-Aug-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190809,2019-08-09
India,2019,09-Aug-2019,Qutub Minar,5871,2019,"Financial Year (Apr - Mar), 2019",20190809,2019-08-09
India,2019,10-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190810,2019-08-10
India,2019,10-Aug-2019,Qutub Minar,7757,2019,"Financial Year (Apr - Mar), 2019",20190810,2019-08-10
India,2019,10-Aug-2019,Taj Mahal,24298,2019,"Financial Year (Apr - Mar), 2019",20190810,2019-08-10
India,2019,10-Aug-2019,Agra Fort,7051,2019,"Financial Year (Apr - Mar), 2019",20190810,2019-08-10
India,2019,11-Aug-2019,Taj Mahal,26942,2019,"Financial Year (Apr - Mar), 2019",20190811,2019-08-11
India,2019,11-Aug-2019,Agra Fort,7997,2019,"Financial Year (Apr - Mar), 2019",20190811,2019-08-11
India,2019,11-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190811,2019-08-11
India,2019,11-Aug-2019,Qutub Minar,10617,2019,"Financial Year (Apr - Mar), 2019",20190811,2019-08-11
